   10 TL ✓  10TL x1  (1 banknot)
  830 TL ✓  100TL x8 + 20TL x1 + 10TL x1  (10 banknot)
  840 TL ✓  100TL x8 + 20TL x1 + 10TL x2  (11 banknot)
  850 TL ✓  100TL x8 + 20TL x2 + 10TL x1  (11 banknot)
  860 TL ✓  100TL x8 + 50TL x1 + 10TL x1  (10 banknot)
  870 TL ✓  100TL x8 + 50TL x1 + 10TL x2  (11 banknot)
  880 TL ✓  100TL x8 + 50TL x1 + 20TL x1 + 10TL x1  (11 banknot)
  890 TL ✓  100TL x8 + 50TL x1 + 20TL x1 + 10TL x2  (12 banknot)
  900 TL ✓  100TL x8 + 50TL x1 + 20TL x2 + 10TL x1  (12 banknot)
  910 TL ✓  100TL x9 + 10TL x1  (10 banknot)
  920 TL ✓  100TL x9 + 10TL x2  (11 banknot)
  930 TL ✓  100TL x9 + 20TL x1 + 10TL x1  (11 banknot)
  940 TL ✓  100TL x9 + 20TL x1 + 10TL x2  (12 banknot)
  950 TL ✓  100TL x9 + 20TL x2 + 10TL x1  (12 banknot)
  960 TL ✓  100TL x9 + 50TL x1 + 10TL x1  (11 banknot)
  970 TL ✓  100TL x9 + 50TL x1 + 10TL x2  (12 banknot)
  980 TL ✓  100TL x9 + 50TL x1 + 20TL x1 + 10TL x1  (12 banknot)
  990 TL ✓  100TL x9 + 50TL x1 + 20TL x1 + 10TL x2  (13 banknot)
 1000 TL ✓  100TL x9 + 50TL x1 + 20TL x2 + 10TL x1  (13 banknot)

ÖZET: 100 başarılı / 0 başarısız
